Name,Phone1,Phone2,website,Location,logo1,logo2,ColorPrimary,ColorSecondary,x,fb,ig,FontPrimary,FontSecondary,FontDetails
Tripple K Communications,733565861,715130013,www.tripplek.co.ke ,CBD Moi Avenue Opp. MKU Towers ,https://ik.imagekit.io/ericmwangi/tklogo.png?updatedAt=1764543349107,,"#8B1A1A

","#45B39D

",,,,"Comfortaa

","Montserrat

","Inter

"
Kenyatronics,725231726,715539455,www.kenyatronics.com ,REHEMA HSE 3RD FLOOR 01 - ALONG STANDARD STREET,https://ik.imagekit.io/ericmwangi/ktlogo.png?updatedAt=1769205742967,,"#87CEFA

","#4A90E2

",https://www.twitter.com/kenyatronics,https://www.facebook.com/kenyatronics,https://instagram.com/kenyatronics,"Archivo

","Anton

",Quicksand 